time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-01-01 00:00:00+01:00,9.3,6.9,85.0,0.0,0.0,216.0,13.0,22.2,1027.7,0.0,3.0
2022-01-01 01:00:00+01:00,9.2,6.8,85.0,0.0,0.0,217.0,11.1,20.4,1028.0,0.0,3.0
2022-01-01 02:00:00+01:00,9.1,6.7,85.0,0.0,0.0,215.0,11.1,18.5,1028.2,0.0,3.0
2022-01-01 03:00:00+01:00,8.9,6.7,86.0,0.0,0.0,216.0,9.3,16.7,1028.3,0.0,3.0
2022-01-01 04:00:00+01:00,8.7,6.6,87.0,0.0,0.0,208.0,9.3,16.7,1028.3,0.0,4.0
2022-01-01 05:00:00+01:00,8.9,6.7,86.0,0.0,0.0,211.0,7.4,14.8,1028.2,0.0,4.0
2022-01-01 06:00:00+01:00,8.6,6.7,88.0,0.0,0.0,209.0,7.4,16.7,1028.0,0.0,4.0
2022-01-01 07:00:00+01:00,8.2,6.6,90.0,0.0,0.0,207.0,7.4,18.5,1028.1,0.0,4.0
2022-01-01 08:00:00+01:00,8.3,6.6,89.0,0.0,0.0,205.0,7.4,20.4,1028.1,0.0,4.0
2022-01-01 09:00:00+01:00,8.2,6.6,90.0,0.0,0.0,197.0,7.4,18.5,1028.3,5.0,4.0
2022-01-01 10:00:00+01:00,8.8,6.9,88.0,0.0,0.0,200.0,7.4,18.5,1028.4,1.0,4.0
2022-01-01 11:00:00+01:00,9.9,7.1,83.0,0.0,0.0,208.0,7.4,14.8,1028.8,28.0,4.0
2022-01-01 12:00:00+01:00,11.1,7.4,78.0,0.0,0.0,213.0,7.4,14.8,1028.3,60.0,3.0
2022-01-01 13:00:00+01:00,11.6,7.7,77.0,0.0,0.0,219.0,5.5,14.8,1027.8,60.0,3.0
2022-01-01 14:00:00+01:00,12.0,7.7,75.0,0.0,0.0,228.0,5.5,14.8,1027.2,60.0,3.0
2022-01-01 15:00:00+01:00,12.1,7.8,75.0,0.0,0.0,226.0,5.5,13.0,1026.6,59.0,3.0
2022-01-01 16:00:00+01:00,12.0,7.9,76.0,0.0,0.0,214.0,5.5,13.0,1026.2,60.0,3.0
2022-01-01 17:00:00+01:00,11.6,7.5,76.0,0.0,0.0,179.0,5.5,11.1,1026.3,19.0,3.0
2022-01-01 18:00:00+01:00,10.4,7.3,81.0,0.0,0.0,140.0,5.5,11.1,1026.2,0.0,3.0
